county,total_incidents,total_victims,total_offenders,population
Albany,65,67,76,313743
Allegany,1,1,1,46106
Bronx,158,163,210,1424948
Broome,17,17,18,197240
Cattaraugus,7,7,7,76426
Cayuga,8,8,8,75880
Chautauqua,5,5,6,126807
Chemung,3,3,3,83045
Chenango,6,7,6,46537
Clinton,16,16,17,79596
Columbia,5,5,5,61778
Cortland,6,6,6,46311
Delaware,1,1,1,44378
Dutchess,43,48,59,297112
Erie,183,191,226,950683
Essex,4,5,4,37268
Franklin,7,8,9,47456
Fulton,1,1,1,53116
Genesee,1,1,1,57853
Greene,1,1,1,48499
Hamilton,1,1,1,5119
Herkimer,5,6,5,59937
Jefferson,4,4,4,116295
Kings,653,685,860,2641052
Lewis,2,3,5,26573
Livingston,7,7,7,61578
Madison,7,8,9,67658
Monroe,39,43,43,755160
Nassau,107,113,121,1390907
New York,588,621,737,1576876
Niagara,16,16,16,211653
Oneida,8,8,8,230274
Onondaga,9,10,9,473236
Ontario,4,4,4,112508
Orange,43,46,47,404525
Orleans,3,3,8,40191
Oswego,14,17,19,117387
Otsego,13,15,13,58123
Putnam,6,6,6,97936
Queens,229,234,304,2331143
Rensselaer,5,5,5,160232
Richmond,89,94,140,997895
Rockland,40,41,57,339227
Saratoga,16,17,17,237359
Schenectady,9,9,9,158089
Schoharie,6,8,9,29863
Schuyler,1,1,1,17752
Seneca,2,2,5,33688
St. Lawrence,14,14,14,108051
Steuben,4,15,5,92948
Suffolk,182,192,224,1526344
Sullivan,2,2,2,79806
Tioga,2,2,4,47980
Tompkins,16,19,16,105162
Ulster,17,18,19,182951
Warren,2,2,2,65618
Washington,4,4,4,60956
Wayne,6,6,6,90923
Westchester,113,120,140,997895